rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
4618,2018-12-24,AMAZON,L5,Software Engineer,121.0,"Seattle, WA",1,1,API Development (Back-End),77.0,38.0,6.0,Male,11527
4658,2018-12-26,AMAZON,L5,Software Engineer,126.0,"Seattle, WA",7,3,Android,96.0,30.0,0.0,Male,11527
4745,2018-12-28,AMAZON,L4,Software Engineer,170.0,"Seattle, WA",1,1,API Development (Back-End),142.0,9.0,19.0,Male,11527
4770,2018-12-29,AMAZON,SDE I,Software Engineer,135.0,"Seattle, WA",0,0,Full Stack,107.0,16.0,12.0,Male,11527
4839,2019-01-04,AMAZON,L5,Software Engineer,143.0,"Seattle, WA",1,1,Distributed Systems (Back-End),109.0,18.0,16.0,Male,11527
4886,2019-01-06,AMAZON,SDE II,Software Engineer,216.0,"Seattle, WA",3,4,Full Stack,128.0,88.0,0.0,Male,11527
4946,2019-01-09,AMAZON,L4,Software Engineer,110.0,"Seattle, WA",2,0,Full Stack,81.0,3.0,26.0,Female,11527
5056,2019-01-13,AMAZON,L4,Software Engineer,129.0,"Seattle, WA",0,0,Full Stack,92.0,5.0,32.0,Male,11527
5180,2019-01-18,AMAZON,SDE II,Software Engineer,134.0,"Seattle, WA",5,2,Distributed Systems (Back-End),86.0,48.0,0.0,Male,11527
5249,2019-01-21,AMAZON,L4,Software Engineer,151.0,"Seattle, WA",6,0,API Development (Back-End),105.0,30.0,16.0,Male,11527
5260,2019-01-21,AMAZON,L5,Software Engineer,231.0,"Seattle, WA",4,1,Full Stack,198.0,11.0,22.0,Male,11527
5266,2019-01-22,AMAZON,SDE II,Software Engineer,208.0,"Seattle, WA",7,0,Full Stack,149.0,38.0,21.0,Male,11527
5272,2019-01-22,AMAZON,SDE II,Software Engineer,239.0,"Seattle, WA",11,3,Full Stack,180.0,59.0,0.0,Male,11527
5284,2019-01-22,AMAZON,L5,Software Engineer,229.0,"Seattle, WA",7,0,Full Stack,140.0,51.0,38.0,Male,11527
5288,2019-01-22,AMAZON,SDE II,Software Engineer,103.0,"Seattle, WA",5,7,Distributed Systems (Back-End),71.0,32.0,0.0,Male,11527
5347,2019-01-25,AMAZON,SDE II,Software Engineer,220.0,"Seattle, WA",3,0,Distributed Systems (Back-End),164.0,40.0,16.0,Other,11527
5357,2019-01-25,AMAZON,SDE II,Software Engineer,180.0,"Seattle, WA",2,4,Distributed Systems (Back-End),115.0,52.0,13.0,Male,11527
5382,2019-01-26,AMAZON,L6,Software Engineer,244.0,"Seattle, WA",12,8,Full Stack,146.0,96.0,2.0,Male,11527
5432,2019-01-29,AMAZON,L4,Software Engineer,135.0,"Seattle, WA",1,0,Distributed Systems (Back-End),88.0,15.0,32.0,Male,11527
